epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1373.13,0.68026,0.48993,0.9201,0.95314,0.99681,0.98944,0.67301,1.19303,0.59646,1.21905,0.0005545,0.0005545,0.0005545
92,1389.96,0.67546,0.46949,0.9148,0.95137,0.98782,0.995,0.71896,1.04662,0.55783,1.12994,0.00054955,0.00054955,0.00054955
93,1407.02,0.67064,0.47601,0.91077,0.95487,0.97422,0.995,0.72414,1.05139,0.56426,1.14251,0.0005446,0.0005446,0.0005446
94,1424.05,0.71031,0.48787,0.91989,0.93122,0.97203,0.98653,0.75082,0.89934,0.55081,1.03892,0.00053965,0.00053965,0.00053965
95,1441.03,0.70508,0.48797,0.93573,0.9051,0.98797,0.98981,0.76433,0.87149,0.55427,1.02686,0.0005347,0.0005347,0.0005347
96,1457.93,0.67589,0.50359,0.91574,0.96562,0.97702,0.98389,0.7908,0.76988,0.51989,0.97369,0.00052975,0.00052975,0.00052975
97,1474.66,0.6578,0.46863,0.92037,0.96395,0.97279,0.98389,0.74616,0.89074,0.54833,1.03551,0.0005248,0.0005248,0.0005248
98,1491.55,0.66815,0.48576,0.92423,0.95596,0.95503,0.97833,0.74237,0.92719,0.54427,1.04432,0.00051985,0.00051985,0.00051985
99,1508.74,0.65559,0.47535,0.91242,0.93177,0.98599,0.98653,0.69615,1.07701,0.54945,1.11099,0.0005149,0.0005149,0.0005149
100,1526.26,0.63061,0.44631,0.9149,0.95523,0.98203,0.98389,0.72361,0.98855,0.51896,1.06686,0.00050995,0.00050995,0.00050995
101,1544.58,0.65961,0.47039,0.9259,0.9461,0.99146,0.98389,0.75891,0.87018,0.50124,0.99741,0.000505,0.000505,0.000505
102,1561.76,0.63826,0.45493,0.92094,0.95013,0.99619,0.995,0.76799,0.85385,0.48437,0.97803,0.00050005,0.00050005,0.00050005
103,1578.68,0.63239,0.4609,0.90748,0.96297,0.95491,0.995,0.802,0.78596,0.49723,0.96531,0.0004951,0.0004951,0.0004951
104,1595.51,0.67093,0.46185,0.91565,0.94937,0.96166,0.98389,0.78631,0.81702,0.51465,0.97311,0.00049015,0.00049015,0.00049015
